category,related,count
Pets & Animals,Science & Technology,25
Pets & Animals,Education,33
Sports,Autos & Vehicles,151
Sports,Comedy,238
Sports,Entertainment,2525
Sports,Film & Animation,84
Sports,Gaming,36
Sports,Howto & Style,34
Sports,Music,223
Sports,News & Politics,82
Sports,People & Blogs,449
Sports,Pets & Animals,31
Sports,Sports,8134
Sports,Travel & Events,59
Sports,Nonprofits & Activism,6
Sports,Science & Technology,20
Sports,Education,46
Travel & Events,Autos & Vehicles,120
Travel & Events,Comedy,146
Travel & Events,Entertainment,401
Travel & Events,Film & Animation,76
Travel & Events,Gaming,21
Travel & Events,Howto & Style,35
Travel & Events,Music,308
Travel & Events,News & Politics,88
Travel & Events,People & Blogs,215
Travel & Events,Pets & Animals,61
Travel & Events,Sports,53
Travel & Events,Travel & Events,1685
Travel & Events,Nonprofits & Activism,9
Travel & Events,Science & Technology,51
Travel & Events,Education,34
Nonprofits & Activism,Autos & Vehicles,14
Nonprofits & Activism,Comedy,70
Nonprofits & Activism,Entertainment,181
Nonprofits & Activism,Film & Animation,39
Nonprofits & Activism,Gaming,27
Nonprofits & Activism,Howto & Style,47
Nonprofits & Activism,Music,86
Nonprofits & Activism,News & Politics,396
Nonprofits & Activism,People & Blogs,122
Nonprofits & Activism,Pets & Animals,8
Nonprofits & Activism,Sports,6
Nonprofits & Activism,Travel & Events,20
Nonprofits & Activism,Nonprofits & Activism,666
Nonprofits & Activism,Science & Technology,48
Nonprofits & Activism,Education,120
Science & Technology,Autos & Vehicles,562
Science & Technology,Comedy,108
Science & Technology,Entertainment,780
Science & Technology,Film & Animation,114
Science & Technology,Gaming,180
Science & Technology,Howto & Style,372
Science & Technology,Music,69
Science & Technology,News & Politics,160
Science & Technology,People & Blogs,281
Science & Technology,Pets & Animals,30
Science & Technology,Sports,30
Science & Technology,Travel & Events,71
Science & Technology,Nonprofits & Activism,33
Science & Technology,Science & Technology,4828
Science & Technology,Education,270
Education,Autos & Vehicles,95
Education,Comedy,154
Education,Entertainment,642
Education,Film & Animation,141
Education,Gaming,54
Education,Howto & Style,140
Education,Music,171
Education,News & Politics,361
Education,People & Blogs,275
Education,Pets & Animals,43
Education,Sports,70
Education,Travel & Events,36
Education,Nonprofits & Activism,126
Education,Science & Technology,352
Education,Education,1684
