category,related,count
Autos & Vehicles,Autos & Vehicles,11384
Autos & Vehicles,Comedy,160
Autos & Vehicles,Entertainment,745
Autos & Vehicles,Film & Animation,146
Autos & Vehicles,Gaming,42
Autos & Vehicles,Howto & Style,339
Autos & Vehicles,Music,193
Autos & Vehicles,News & Politics,153
Autos & Vehicles,People & Blogs,478
Autos & Vehicles,Pets & Animals,4
Autos & Vehicles,Sports,149
Autos & Vehicles,Travel & Events,156
Autos & Vehicles,Nonprofits & Activism,6
Autos & Vehicles,Science & Technology,723
Autos & Vehicles,Education,134
Comedy,Autos & Vehicles,154
Comedy,Comedy,12811
Comedy,Entertainment,3803
Comedy,Film & Animation,1135
Comedy,Gaming,154
Comedy,Howto & Style,118
Comedy,Music,1067
Comedy,News & Politics,394
Comedy,People & Blogs,1344
Comedy,Pets & Animals,178
Comedy,Sports,256
Comedy,Travel & Events,148
Comedy,Nonprofits & Activism,42
Comedy,Science & Technology,92
Comedy,Education,136
Entertainment,Autos & Vehicles,765
Entertainment,Comedy,3590
Entertainment,Entertainment,71506
Entertainment,Film & Animation,6362
Entertainment,Gaming,2150
Entertainment,Howto & Style,770
Entertainment,Music,7030
Entertainment,News & Politics,795
Entertainment,People & Blogs,4014
Entertainment,Pets & Animals,250
Entertainment,Sports,2500
Entertainment,Travel & Events,426
Entertainment,Nonprofits & Activism,144
Entertainment,Science & Technology,731
Entertainment,Education,620
Film & Animation,Autos & Vehicles,123
Film & Animation,Comedy,1120
Film & Animation,Entertainment,6483
Film & Animation,Film & Animation,16947
Film & Animation,Gaming,267
Film & Animation,Howto & Style,170
Film & Animation,Music,1821
Film & Animation,News & Politics,236
Film & Animation,People & Blogs,975
Film & Animation,Pets & Animals,98
Film & Animation,Sports,87
Film & Animation,Travel & Events,98
Film & Animation,Nonprofits & Activism,28
Film & Animation,Science & Technology,124
Film & Animation,Education,143
Gaming,Autos & Vehicles,41
Gaming,Comedy,185
Gaming,Entertainment,2436
Gaming,Film & Animation,309
Gaming,Gaming,4253
Gaming,Howto & Style,94
Gaming,Music,81
Gaming,News & Politics,14
Gaming,People & Blogs,136
Gaming,Pets & Animals,18
Gaming,Sports,35
Gaming,Travel & Events,17
Gaming,Nonprofits & Activism,28
Gaming,Science & Technology,180
Gaming,Education,64
Howto & Style,Autos & Vehicles,288
Howto & Style,Comedy,132
Howto & Style,Entertainment,720
Howto & Style,Film & Animation,204
Howto & Style,Gaming,112
Howto & Style,Howto & Style,2424
Howto & Style,Music,210
Howto & Style,News & Politics,102
Howto & Style,People & Blogs,220
Howto & Style,Pets & Animals,18
Howto & Style,Sports,23
Howto & Style,Travel & Events,41
Howto & Style,Nonprofits & Activism,33
Howto & Style,Science & Technology,360
Howto & Style,Education,139
Music,Autos & Vehicles,233
Music,Comedy,1066
Music,Entertainment,6864
Music,Film & Animation,1794
Music,Gaming,64
Music,Howto & Style,233
Music,Music,63765
Music,News & Politics,287
Music,People & Blogs,2140
Music,Pets & Animals,101
Music,Sports,282
Music,Travel & Events,325
Music,Nonprofits & Activism,62
Music,Science & Technology,53
Music,Education,138
News & Politics,Autos & Vehicles,124
News & Politics,Comedy,450
News & Politics,Entertainment,802
News & Politics,Film & Animation,219
News & Politics,Gaming,15
News & Politics,Howto & Style,121
News & Politics,Music,302
News & Politics,News & Politics,9614
News & Politics,People & Blogs,725
News & Politics,Pets & Animals,62
News & Politics,Sports,83
News & Politics,Travel & Events,131
News & Politics,Nonprofits & Activism,322
News & Politics,Science & Technology,228
News & Politics,Education,328
People & Blogs,Autos & Vehicles,431
People & Blogs,Comedy,1298
People & Blogs,Entertainment,3931
People & Blogs,Film & Animation,975
People & Blogs,Gaming,147
People & Blogs,Howto & Style,259
People & Blogs,Music,2157
People & Blogs,News & Politics,731
People & Blogs,People & Blogs,10138
People & Blogs,Pets & Animals,166
People & Blogs,Sports,460
People & Blogs,Travel & Events,227
People & Blogs,Nonprofits & Activism,143
People & Blogs,Science & Technology,350
People & Blogs,Education,272
Pets & Animals,Autos & Vehicles,4
Pets & Animals,Comedy,191
Pets & Animals,Entertainment,308
Pets & Animals,Film & Animation,102
Pets & Animals,Gaming,11
Pets & Animals,Howto & Style,25
Pets & Animals,Music,126
Pets & Animals,News & Politics,56
Pets & Animals,People & Blogs,201
Pets & Animals,Pets & Animals,5393
Pets & Animals,Sports,57
Pets & Animals,Travel & Events,46
Pets & Animals,Nonprofits & Activism,7
