category,related,count
Autos & Vehicles,Autos & Vehicles,11179
Autos & Vehicles,Comedy,326
Autos & Vehicles,Entertainment,948
Autos & Vehicles,Film & Animation,221
Autos & Vehicles,Gadgets & Games,0
Autos & Vehicles,Howto & Style,209
Autos & Vehicles,Music,203
Autos & Vehicles,News & Politics,123
Autos & Vehicles,People & Blogs,598
Autos & Vehicles,Pets & Animals,9
Autos & Vehicles,Sports,812
Autos & Vehicles,Travel & Events,324
Autos & Vehicles,Nonprofits & Activism,6
Autos & Vehicles,Science & Technology,76
Autos & Vehicles,Education,31
Comedy,Autos & Vehicles,312
Comedy,Comedy,25980
Comedy,Entertainment,6454
Comedy,Film & Animation,2504
Comedy,Gadgets & Games,0
Comedy,Howto & Style,460
Comedy,Music,2825
Comedy,News & Politics,546
Comedy,People & Blogs,2500
Comedy,Pets & Animals,258
Comedy,Sports,1057
Comedy,Travel & Events,229
Comedy,Nonprofits & Activism,53
Comedy,Science & Technology,129
Comedy,Education,212
Entertainment,Autos & Vehicles,1058
Entertainment,Comedy,6443
Entertainment,Entertainment,78852
Entertainment,Film & Animation,9264
Entertainment,Gadgets & Games,0
Entertainment,Howto & Style,1239
Entertainment,Music,14431
Entertainment,News & Politics,870
Entertainment,People & Blogs,5616
Entertainment,Pets & Animals,346
Entertainment,Sports,2742
Entertainment,Travel & Events,759
Entertainment,Nonprofits & Activism,83
Entertainment,Science & Technology,761
Entertainment,Education,375
Film & Animation,Autos & Vehicles,218
Film & Animation,Comedy,2313
Film & Animation,Entertainment,8974
Film & Animation,Film & Animation,42820
Film & Animation,Gadgets & Games,0
Film & Animation,Howto & Style,245
Film & Animation,Music,4467
Film & Animation,News & Politics,347
Film & Animation,People & Blogs,1836
Film & Animation,Pets & Animals,116
Film & Animation,Sports,245
Film & Animation,Travel & Events,200
Film & Animation,Nonprofits & Activism,30
Film & Animation,Science & Technology,112
Film & Animation,Education,100
Gadgets & Games,Autos & Vehicles,0
Gadgets & Games,Comedy,0
Gadgets & Games,Entertainment,0
Gadgets & Games,Film & Animation,0
Gadgets & Games,Gadgets & Games,0
Gadgets & Games,Howto & Style,0
Gadgets & Games,Music,0
Gadgets & Games,News & Politics,0
Gadgets & Games,People & Blogs,0
Gadgets & Games,Pets & Animals,0
Gadgets & Games,Sports,0
Gadgets & Games,Travel & Events,0
Gadgets & Games,Nonprofits & Activism,0
Gadgets & Games,Science & Technology,0
Gadgets & Games,Education,0
Howto & Style,Autos & Vehicles,188
Howto & Style,Comedy,415
Howto & Style,Entertainment,1190
Howto & Style,Film & Animation,212
Howto & Style,Gadgets & Games,0
Howto & Style,Howto & Style,4717
Howto & Style,Music,384
Howto & Style,News & Politics,211
Howto & Style,People & Blogs,733
Howto & Style,Pets & Animals,40
Howto & Style,Sports,385
Howto & Style,Travel & Events,163
Howto & Style,Nonprofits & Activism,8
Howto & Style,Science & Technology,239
Howto & Style,Education,160
Music,Autos & Vehicles,265
Music,Comedy,2832
Music,Entertainment,14919
Music,Film & Animation,4277
Music,Gadgets & Games,0
Music,Howto & Style,431
Music,Music,162231
Music,News & Politics,815
Music,People & Blogs,5577
Music,Pets & Animals,128
Music,Sports,566
Music,Travel & Events,576
Music,Nonprofits & Activism,118
Music,Science & Technology,74
Music,Education,218
News & Politics,Autos & Vehicles,116
News & Politics,Comedy,509
News & Politics,Entertainment,917
News & Politics,Film & Animation,325
News & Politics,Gadgets & Games,0
News & Politics,Howto & Style,221
News & Politics,Music,929
News & Politics,News & Politics,11343
News & Politics,People & Blogs,1216
News & Politics,Pets & Animals,66
News & Politics,Sports,145
News & Politics,Travel & Events,192
News & Politics,Nonprofits & Activism,202
News & Politics,Science & Technology,120
News & Politics,Education,268
People & Blogs,Autos & Vehicles,622
People & Blogs,Comedy,2554
People & Blogs,Entertainment,5677
People & Blogs,Film & Animation,1861
People & Blogs,Gadgets & Games,0
People & Blogs,Howto & Style,712
People & Blogs,Music,5900
People & Blogs,News & Politics,1104
People & Blogs,People & Blogs,17051
People & Blogs,Pets & Animals,221
People & Blogs,Sports,1258
People & Blogs,Travel & Events,552
People & Blogs,Nonprofits & Activism,82
People & Blogs,Science & Technology,242
People & Blogs,Education,281
Pets & Animals,Autos & Vehicles,17
Pets & Animals,Comedy,250
Pets & Animals,Entertainment,376
Pets & Animals,Film & Animation,119
Pets & Animals,Gadgets & Games,0
Pets & Animals,Howto & Style,50
Pets & Animals,Music,169
Pets & Animals,News & Politics,94
Pets & Animals,People & Blogs,222
Pets & Animals,Pets & Animals,3440
Pets & Animals,Sports,79
Pets & Animals,Travel & Events,121
Pets & Animals,Nonprofits & Activism,79
Pets & Animals,Science & Technology,17
Pets & Animals,Education,38
Sports,Autos & Vehicles,854
Sports,Comedy,954
Sports,Entertainment,2607
Sports,Film & Animation,275
Sports,Gadgets & Games,0
Sports,Howto & Style,292
Sports,Music,557
Sports,News & Politics,129
Sports,People & Blogs,1140
Sports,Pets & Animals,54
Sports,Sports,28579
Sports,Travel & Events,213
Sports,Nonprofits & Activism,7
Sports,Science & Technology,70
Sports,Education,132
Travel & Events,Autos & Vehicles,362
Travel & Events,Comedy,238
Travel & Events,Entertainment,818
Travel & Events,Film & Animation,222
Travel & Events,Gadgets & Games,0
Travel & Events,Howto & Style,153
Travel & Events,Music,631
Travel & Events,News & Politics,206
Travel & Events,People & Blogs,610
Travel & Events,Pets & Animals,131
Travel & Events,Sports,238
Travel & Events,Travel & Events,4201
Travel & Events,Nonprofits & Activism,16
Travel & Events,Science & Technology,33
Travel & Events,Education,28
Nonprofits & Activism,Autos & Vehicles,13
Nonprofits & Activism,Comedy,44
Nonprofits & Activism,Entertainment,120
Nonprofits & Activism,Film & Animation,38
Nonprofits & Activism,Gadgets & Games,0
Nonprofits & Activism,Howto & Style,26
Nonprofits & Activism,Music,128
Nonprofits & Activism,News & Politics,148
Nonprofits & Activism,People & Blogs,98
Nonprofits & Activism,Pets & Animals,69
Nonprofits & Activism,Sports,10
Nonprofits & Activism,Travel & Events,17
Nonprofits & Activism,Nonprofits & Activism,584
Nonprofits & Activism,Science & Technology,17
Nonprofits & Activism,Education,100
Science & Technology,Autos & Vehicles,83
Science & Technology,Comedy,145
Science & Technology,Entertainment,744
Science & Technology,Film & Animation,116
Science & Technology,Gadgets & Games,0
Science & Technology,Howto & Style,251
Science & Technology,Music,81
Science & Technology,News & Politics,118
Science & Technology,People & Blogs,233
Science & Technology,Pets & Animals,11
Science & Technology,Sports,97
Science & Technology,Travel & Events,34
Science & Technology,Nonprofits & Activism,11
Science & Technology,Science & Technology,2261
Science & Technology,Education,53
Education,Autos & Vehicles,16
Education,Comedy,246
Education,Entertainment,487
Education,Film & Animation,150
Education,Gadgets & Games,0
Education,Howto & Style,208
Education,Music,323
Education,News & Politics,306
Education,People & Blogs,370
Education,Pets & Animals,33
Education,Sports,159
Education,Travel & Events,19
Education,Nonprofits & Activism,47
Education,Science & Technology,49
Education,Education,2128
