category,related,count
Autos & Vehicles,Autos & Vehicles,2991
Autos & Vehicles,Comedy,152
Autos & Vehicles,Entertainment,154
Autos & Vehicles,Film & Animation,66
Autos & Vehicles,Gadgets & Games,74
Autos & Vehicles,Howto & DIY,44
Autos & Vehicles,Music,103
Autos & Vehicles,News & Politics,44
Autos & Vehicles,People & Blogs,71
Autos & Vehicles,Pets & Animals,7
Autos & Vehicles,Sports,327
Autos & Vehicles,Travel & Places,128
Comedy,Autos & Vehicles,160
Comedy,Comedy,14059
Comedy,Entertainment,3261
Comedy,Film & Animation,1059
Comedy,Gadgets & Games,478
Comedy,Howto & DIY,192
Comedy,Music,1954
Comedy,News & Politics,546
Comedy,People & Blogs,1563
Comedy,Pets & Animals,398
Comedy,Sports,662
Comedy,Travel & Places,242
Entertainment,Autos & Vehicles,148
Entertainment,Comedy,2892
Entertainment,Entertainment,29433
Entertainment,Film & Animation,2069
Entertainment,Gadgets & Games,1070
Entertainment,Howto & DIY,535
Entertainment,Music,3891
Entertainment,News & Politics,885
Entertainment,People & Blogs,1712
Entertainment,Pets & Animals,229
Entertainment,Sports,1092
Entertainment,Travel & Places,408
Film & Animation,Autos & Vehicles,66
Film & Animation,Comedy,909
Film & Animation,Entertainment,2058
Film & Animation,Film & Animation,7300
Film & Animation,Gadgets & Games,369
Film & Animation,Howto & DIY,133
Film & Animation,Music,986
Film & Animation,News & Politics,266
Film & Animation,People & Blogs,336
Film & Animation,Pets & Animals,65
Film & Animation,Sports,230
Film & Animation,Travel & Places,158
Gadgets & Games,Autos & Vehicles,55
Gadgets & Games,Comedy,335
Gadgets & Games,Entertainment,866
Gadgets & Games,Film & Animation,379
Gadgets & Games,Gadgets & Games,10709
Gadgets & Games,Howto & DIY,194
Gadgets & Games,Music,364
Gadgets & Games,News & Politics,87
Gadgets & Games,People & Blogs,119
Gadgets & Games,Pets & Animals,22
Gadgets & Games,Sports,259
Gadgets & Games,Travel & Places,43
Howto & DIY,Autos & Vehicles,68
Howto & DIY,Comedy,172
Howto & DIY,Entertainment,497
Howto & DIY,Film & Animation,124
Howto & DIY,Gadgets & Games,205
Howto & DIY,Howto & DIY,2499
Howto & DIY,Music,175
Howto & DIY,News & Politics,257
Howto & DIY,People & Blogs,199
Howto & DIY,Pets & Animals,24
Howto & DIY,Sports,64
Howto & DIY,Travel & Places,71
Music,Autos & Vehicles,145
Music,Comedy,1570
Music,Entertainment,3625
Music,Film & Animation,1047
Music,Gadgets & Games,409
Music,Howto & DIY,102
Music,Music,38119
Music,News & Politics,450
Music,People & Blogs,1275
Music,Pets & Animals,105
Music,Sports,449
Music,Travel & Places,227
News & Politics,Autos & Vehicles,62
News & Politics,Comedy,577
News & Politics,Entertainment,894
News & Politics,Film & Animation,276
News & Politics,Gadgets & Games,83
News & Politics,Howto & DIY,199
News & Politics,Music,618
News & Politics,News & Politics,9393
News & Politics,People & Blogs,1004
News & Politics,Pets & Animals,23
News & Politics,Sports,221
News & Politics,Travel & Places,179
People & Blogs,Autos & Vehicles,103
People & Blogs,Comedy,1634
People & Blogs,Entertainment,2222
People & Blogs,Film & Animation,585
People & Blogs,Gadgets & Games,160
People & Blogs,Howto & DIY,183
People & Blogs,Music,2069
People & Blogs,News & Politics,1122
People & Blogs,People & Blogs,9006
People & Blogs,Pets & Animals,149
People & Blogs,Sports,481
People & Blogs,Travel & Places,443
Pets & Animals,Autos & Vehicles,12
Pets & Animals,Comedy,399
Pets & Animals,Entertainment,231
Pets & Animals,Film & Animation,99
Pets & Animals,Gadgets & Games,36
Pets & Animals,Howto & DIY,32
Pets & Animals,Music,153
Pets & Animals,News & Politics,31
Pets & Animals,People & Blogs,156
Pets & Animals,Pets & Animals,2876
Pets & Animals,Sports,86
Pets & Animals,Travel & Places,42
Sports,Autos & Vehicles,356
Sports,Comedy,577
Sports,Entertainment,1104
Sports,Film & Animation,244
Sports,Gadgets & Games,304
Sports,Howto & DIY,64
Sports,Music,658
Sports,News & Politics,190
Sports,People & Blogs,410
Sports,Pets & Animals,84
Sports,Sports,21132
Sports,Travel & Places,450
Travel & Places,Autos & Vehicles,80
Travel & Places,Comedy,240
Travel & Places,Entertainment,431
Travel & Places,Film & Animation,131
Travel & Places,Gadgets & Games,20
Travel & Places,Howto & DIY,52
Travel & Places,Music,366
Travel & Places,News & Politics,128
Travel & Places,People & Blogs,396
Travel & Places,Pets & Animals,58
Travel & Places,Sports,566
Travel & Places,Travel & Places,3462
