category,related,count
Autos & Vehicles,Autos & Vehicles,8587
Autos & Vehicles,Comedy,284
Autos & Vehicles,Entertainment,494
Autos & Vehicles,Film & Animation,69
Autos & Vehicles,Gadgets & Games,0
Autos & Vehicles,Howto & Style,50
Autos & Vehicles,Music,150
Autos & Vehicles,News & Politics,102
Autos & Vehicles,People & Blogs,434
Autos & Vehicles,Pets & Animals,7
Autos & Vehicles,Sports,327
Autos & Vehicles,Travel & Events,84
Autos & Vehicles,Nonprofits & Activism,6
Autos & Vehicles,Science & Technology,6
Autos & Vehicles,Education,49
Comedy,Autos & Vehicles,323
Comedy,Comedy,13851
Comedy,Entertainment,3828
Comedy,Film & Animation,993
Comedy,Gadgets & Games,0
Comedy,Howto & Style,136
Comedy,Music,1707
Comedy,News & Politics,233
Comedy,People & Blogs,1783
Comedy,Pets & Animals,415
Comedy,Sports,897
Comedy,Travel & Events,136
Comedy,Nonprofits & Activism,33
Comedy,Science & Technology,45
Comedy,Education,141
Entertainment,Autos & Vehicles,514
Entertainment,Comedy,3807
Entertainment,Entertainment,58396
Entertainment,Film & Animation,5287
Entertainment,Gadgets & Games,0
Entertainment,Howto & Style,809
Entertainment,Music,6841
Entertainment,News & Politics,637
Entertainment,People & Blogs,4399
Entertainment,Pets & Animals,597
Entertainment,Sports,2311
Entertainment,Travel & Events,431
Entertainment,Nonprofits & Activism,108
Entertainment,Science & Technology,461
Entertainment,Education,368
Film & Animation,Autos & Vehicles,98
Film & Animation,Comedy,1008
Film & Animation,Entertainment,5543
Film & Animation,Film & Animation,26637
Film & Animation,Gadgets & Games,0
Film & Animation,Howto & Style,447
Film & Animation,Music,1732
Film & Animation,News & Politics,114
Film & Animation,People & Blogs,989
Film & Animation,Pets & Animals,181
Film & Animation,Sports,289
Film & Animation,Travel & Events,130
Film & Animation,Nonprofits & Activism,48
Film & Animation,Science & Technology,44
Film & Animation,Education,118
Gadgets & Games,Autos & Vehicles,0
Gadgets & Games,Comedy,0
Gadgets & Games,Entertainment,0
Gadgets & Games,Film & Animation,0
Gadgets & Games,Gadgets & Games,0
Gadgets & Games,Howto & Style,0
Gadgets & Games,Music,0
Gadgets & Games,News & Politics,0
Gadgets & Games,People & Blogs,0
Gadgets & Games,Pets & Animals,0
Gadgets & Games,Sports,0
Gadgets & Games,Travel & Events,0
Gadgets & Games,Nonprofits & Activism,0
Gadgets & Games,Science & Technology,0
Gadgets & Games,Education,0
Howto & Style,Autos & Vehicles,45
Howto & Style,Comedy,144
Howto & Style,Entertainment,833
Howto & Style,Film & Animation,452
Howto & Style,Gadgets & Games,0
Howto & Style,Howto & Style,4131
Howto & Style,Music,301
Howto & Style,News & Politics,59
Howto & Style,People & Blogs,442
Howto & Style,Pets & Animals,29
Howto & Style,Sports,111
Howto & Style,Travel & Events,61
Howto & Style,Nonprofits & Activism,13
Howto & Style,Science & Technology,161
Howto & Style,Education,307
Music,Autos & Vehicles,147
Music,Comedy,1753
Music,Entertainment,7099
Music,Film & Animation,1757
Music,Gadgets & Games,0
Music,Howto & Style,303
Music,Music,85123
Music,News & Politics,270
Music,People & Blogs,2979
Music,Pets & Animals,118
Music,Sports,345
Music,Travel & Events,298
Music,Nonprofits & Activism,41
Music,Science & Technology,108
Music,Education,199
News & Politics,Autos & Vehicles,90
News & Politics,Comedy,209
News & Politics,Entertainment,567
News & Politics,Film & Animation,107
News & Politics,Gadgets & Games,0
News & Politics,Howto & Style,49
News & Politics,Music,256
News & Politics,News & Politics,4009
News & Politics,People & Blogs,407
News & Politics,Pets & Animals,43
News & Politics,Sports,133
News & Politics,Travel & Events,73
News & Politics,Nonprofits & Activism,35
News & Politics,Science & Technology,16
News & Politics,Education,50
People & Blogs,Autos & Vehicles,464
People & Blogs,Comedy,1661
People & Blogs,Entertainment,4358
People & Blogs,Film & Animation,947
People & Blogs,Gadgets & Games,0
People & Blogs,Howto & Style,396
People & Blogs,Music,2828
People & Blogs,News & Politics,367
People & Blogs,People & Blogs,12441
People & Blogs,Pets & Animals,290
People & Blogs,Sports,852
People & Blogs,Travel & Events,296
People & Blogs,Nonprofits & Activism,51
People & Blogs,Science & Technology,90
People & Blogs,Education,226
Pets & Animals,Autos & Vehicles,17
Pets & Animals,Comedy,497
Pets & Animals,Entertainment,619
Pets & Animals,Film & Animation,204
Pets & Animals,Gadgets & Games,0
Pets & Animals,Howto & Style,41
Pets & Animals,Music,163
Pets & Animals,News & Politics,39
Pets & Animals,People & Blogs,377
Pets & Animals,Pets & Animals,9275
Pets & Animals,Sports,396
Pets & Animals,Travel & Events,97
Pets & Animals,Nonprofits & Activism,3
Pets & Animals,Science & Technology,15
Pets & Animals,Education,27
Sports,Autos & Vehicles,322
Sports,Comedy,836
Sports,Entertainment,2023
Sports,Film & Animation,242
Sports,Gadgets & Games,0
Sports,Howto & Style,97
Sports,Music,417
Sports,News & Politics,122
Sports,People & Blogs,900
Sports,Pets & Animals,418
Sports,Sports,23162
Sports,Travel & Events,166
Sports,Nonprofits & Activism,32
Sports,Science & Technology,36
Sports,Education,63
Travel & Events,Autos & Vehicles,85
Travel & Events,Comedy,163
Travel & Events,Entertainment,413
Travel & Events,Film & Animation,113
Travel & Events,Gadgets & Games,0
Travel & Events,Howto & Style,53
Travel & Events,Music,331
Travel & Events,News & Politics,82
Travel & Events,People & Blogs,262
Travel & Events,Pets & Animals,86
Travel & Events,Sports,160
Travel & Events,Travel & Events,1751
Travel & Events,Nonprofits & Activism,5
Travel & Events,Science & Technology,36
Travel & Events,Education,30
Nonprofits & Activism,Autos & Vehicles,34
Nonprofits & Activism,Comedy,25
Nonprofits & Activism,Entertainment,126
Nonprofits & Activism,Film & Animation,43
Nonprofits & Activism,Gadgets & Games,0
Nonprofits & Activism,Howto & Style,20
Nonprofits & Activism,Music,36
Nonprofits & Activism,News & Politics,34
Nonprofits & Activism,People & Blogs,38
Nonprofits & Activism,Pets & Animals,3
Nonprofits & Activism,Sports,39
Nonprofits & Activism,Travel & Events,16
Nonprofits & Activism,Nonprofits & Activism,291
Nonprofits & Activism,Science & Technology,9
Nonprofits & Activism,Education,13
Science & Technology,Autos & Vehicles,6
Science & Technology,Comedy,57
Science & Technology,Entertainment,518
Science & Technology,Film & Animation,67
Science & Technology,Gadgets & Games,0
Science & Technology,Howto & Style,188
Science & Technology,Music,118
Science & Technology,News & Politics,29
Science & Technology,People & Blogs,86
Science & Technology,Pets & Animals,8
Science & Technology,Sports,43
Science & Technology,Travel & Events,33
Science & Technology,Nonprofits & Activism,9
Science & Technology,Science & Technology,801
Science & Technology,Education,50
Education,Autos & Vehicles,50
Education,Comedy,122
Education,Entertainment,427
Education,Film & Animation,129
Education,Gadgets & Games,0
Education,Howto & Style,359
Education,Music,243
Education,News & Politics,65
