category,related,count
Autos & Vehicles,Autos & Vehicles,45222
Autos & Vehicles,Comedy,1628
Autos & Vehicles,Entertainment,4617
Autos & Vehicles,Film & Animation,801
Autos & Vehicles,Gadgets & Games,0
Autos & Vehicles,Howto & Style,1026
Autos & Vehicles,Music,885
Autos & Vehicles,News & Politics,990
Autos & Vehicles,People & Blogs,1673
Autos & Vehicles,Pets & Animals,137
Autos & Vehicles,Sports,2612
Autos & Vehicles,Travel & Events,804
Autos & Vehicles,Nonprofits & Activism,14
Autos & Vehicles,Science & Technology,359
Autos & Vehicles,Education,56
Comedy,Autos & Vehicles,1723
Comedy,Comedy,131187
Comedy,Entertainment,43540
Comedy,Film & Animation,10898
Comedy,Gadgets & Games,0
Comedy,Howto & Style,3154
Comedy,Music,17106
Comedy,News & Politics,6673
Comedy,People & Blogs,15526
Comedy,Pets & Animals,4470
Comedy,Sports,4828
Comedy,Travel & Events,1212
Comedy,Nonprofits & Activism,383
Comedy,Science & Technology,940
Comedy,Education,825
Entertainment,Autos & Vehicles,4690
Entertainment,Comedy,43996
Entertainment,Entertainment,367896
Entertainment,Film & Animation,32064
Entertainment,Gadgets & Games,0
Entertainment,Howto & Style,17776
Entertainment,Music,63565
Entertainment,News & Politics,8633
Entertainment,People & Blogs,30691
Entertainment,Pets & Animals,3386
Entertainment,Sports,12277
Entertainment,Travel & Events,3225
Entertainment,Nonprofits & Activism,842
Entertainment,Science & Technology,7740
Entertainment,Education,2052
Film & Animation,Autos & Vehicles,893
Film & Animation,Comedy,10995
Film & Animation,Entertainment,34075
Film & Animation,Film & Animation,88574
Film & Animation,Gadgets & Games,0
Film & Animation,Howto & Style,2751
Film & Animation,Music,17221
Film & Animation,News & Politics,2116
Film & Animation,People & Blogs,6865
Film & Animation,Pets & Animals,1021
Film & Animation,Sports,1122
Film & Animation,Travel & Events,924
Film & Animation,Nonprofits & Activism,208
Film & Animation,Science & Technology,797
Film & Animation,Education,469
Gadgets & Games,Autos & Vehicles,0
Gadgets & Games,Comedy,0
Gadgets & Games,Entertainment,0
