category,related,count
Autos & Vehicles,Autos & Vehicles,18255
Autos & Vehicles,Comedy,522
Autos & Vehicles,Entertainment,1535
Autos & Vehicles,Film & Animation,196
Autos & Vehicles,Gadgets & Games,0
Autos & Vehicles,Howto & Style,133
Autos & Vehicles,Music,241
Autos & Vehicles,News & Politics,185
Autos & Vehicles,People & Blogs,1048
Autos & Vehicles,Pets & Animals,32
Autos & Vehicles,Sports,3714
Autos & Vehicles,Travel & Events,314
Autos & Vehicles,Nonprofits & Activism,9
Autos & Vehicles,Science & Technology,103
Autos & Vehicles,Education,36
Comedy,Autos & Vehicles,532
Comedy,Comedy,24328
Comedy,Entertainment,5534
Comedy,Film & Animation,1189
Comedy,Gadgets & Games,0
Comedy,Howto & Style,286
Comedy,Music,2638
Comedy,News & Politics,697
Comedy,People & Blogs,2497
Comedy,Pets & Animals,203
Comedy,Sports,1335
Comedy,Travel & Events,331
Comedy,Nonprofits & Activism,39
Comedy,Science & Technology,63
Comedy,Education,162
Entertainment,Autos & Vehicles,1617
Entertainment,Comedy,5419
Entertainment,Entertainment,63931
Entertainment,Film & Animation,4663
Entertainment,Gadgets & Games,0
Entertainment,Howto & Style,1137
Entertainment,Music,10366
Entertainment,News & Politics,1289
Entertainment,People & Blogs,5405
Entertainment,Pets & Animals,622
Entertainment,Sports,3349
Entertainment,Travel & Events,1097
Entertainment,Nonprofits & Activism,111
Entertainment,Science & Technology,437
Entertainment,Education,535
Film & Animation,Autos & Vehicles,214
Film & Animation,Comedy,1173
Film & Animation,Entertainment,4996
Film & Animation,Film & Animation,15871
Film & Animation,Gadgets & Games,0
Film & Animation,Howto & Style,459
Film & Animation,Music,2100
Film & Animation,News & Politics,498
Film & Animation,People & Blogs,1301
Film & Animation,Pets & Animals,76
Film & Animation,Sports,317
Film & Animation,Travel & Events,301
Film & Animation,Nonprofits & Activism,50
Film & Animation,Science & Technology,72
Film & Animation,Education,172
Gadgets & Games,Autos & Vehicles,0
Gadgets & Games,Comedy,0
Gadgets & Games,Entertainment,0
Gadgets & Games,Film & Animation,0
Gadgets & Games,Gadgets & Games,0
Gadgets & Games,Howto & Style,0
Gadgets & Games,Music,0
Gadgets & Games,News & Politics,0
Gadgets & Games,People & Blogs,0
Gadgets & Games,Pets & Animals,0
Gadgets & Games,Sports,0
Gadgets & Games,Travel & Events,0
Gadgets & Games,Nonprofits & Activism,0
Gadgets & Games,Science & Technology,0
Gadgets & Games,Education,0
Howto & Style,Autos & Vehicles,173
Howto & Style,Comedy,299
Howto & Style,Entertainment,1147
Howto & Style,Film & Animation,420
Howto & Style,Gadgets & Games,0
Howto & Style,Howto & Style,4652
Howto & Style,Music,315
Howto & Style,News & Politics,263
Howto & Style,People & Blogs,714
Howto & Style,Pets & Animals,47
Howto & Style,Sports,206
Howto & Style,Travel & Events,124
Howto & Style,Nonprofits & Activism,10
Howto & Style,Science & Technology,145
Howto & Style,Education,150
Music,Autos & Vehicles,273
Music,Comedy,2353
Music,Entertainment,10222
Music,Film & Animation,2074
Music,Gadgets & Games,0
Music,Howto & Style,329
Music,Music,99145
Music,News & Politics,478
Music,People & Blogs,3797
Music,Pets & Animals,158
Music,Sports,461
Music,Travel & Events,593
Music,Nonprofits & Activism,48
Music,Science & Technology,60
Music,Education,178
News & Politics,Autos & Vehicles,237
News & Politics,Comedy,627
News & Politics,Entertainment,1322
News & Politics,Film & Animation,453
News & Politics,Gadgets & Games,0
News & Politics,Howto & Style,270
News & Politics,Music,542
News & Politics,News & Politics,9460
News & Politics,People & Blogs,1214
News & Politics,Pets & Animals,38
News & Politics,Sports,213
News & Politics,Travel & Events,495
News & Politics,Nonprofits & Activism,307
News & Politics,Science & Technology,131
News & Politics,Education,236
People & Blogs,Autos & Vehicles,1091
People & Blogs,Comedy,2485
People & Blogs,Entertainment,5596
People & Blogs,Film & Animation,1395
People & Blogs,Gadgets & Games,0
People & Blogs,Howto & Style,747
People & Blogs,Music,4048
People & Blogs,News & Politics,1179
People & Blogs,People & Blogs,17379
People & Blogs,Pets & Animals,351
People & Blogs,Sports,1708
People & Blogs,Travel & Events,896
People & Blogs,Nonprofits & Activism,67
People & Blogs,Science & Technology,116
People & Blogs,Education,314
Pets & Animals,Autos & Vehicles,32
Pets & Animals,Comedy,165
Pets & Animals,Entertainment,620
Pets & Animals,Film & Animation,75
Pets & Animals,Gadgets & Games,0
Pets & Animals,Howto & Style,50
Pets & Animals,Music,184
Pets & Animals,News & Politics,46
Pets & Animals,People & Blogs,268
Pets & Animals,Pets & Animals,3707
Pets & Animals,Sports,375
Pets & Animals,Travel & Events,131
Pets & Animals,Nonprofits & Activism,6
Pets & Animals,Science & Technology,5
Pets & Animals,Education,27
Sports,Autos & Vehicles,3800
Sports,Comedy,1462
Sports,Entertainment,3368
Sports,Film & Animation,340
Sports,Gadgets & Games,0
Sports,Howto & Style,195
Sports,Music,522
Sports,News & Politics,230
Sports,People & Blogs,1839
Sports,Pets & Animals,349
Sports,Sports,45121
Sports,Travel & Events,657
Sports,Nonprofits & Activism,12
Sports,Science & Technology,94
Sports,Education,100
Travel & Events,Autos & Vehicles,378
Travel & Events,Comedy,314
Travel & Events,Entertainment,1128
Travel & Events,Film & Animation,259
Travel & Events,Gadgets & Games,0
Travel & Events,Howto & Style,133
Travel & Events,Music,615
Travel & Events,News & Politics,462
Travel & Events,People & Blogs,828
Travel & Events,Pets & Animals,132
Travel & Events,Sports,603
Travel & Events,Travel & Events,4583
Travel & Events,Nonprofits & Activism,32
Travel & Events,Science & Technology,47
Travel & Events,Education,82
Nonprofits & Activism,Autos & Vehicles,17
Nonprofits & Activism,Comedy,42
Nonprofits & Activism,Entertainment,140
Nonprofits & Activism,Film & Animation,58
Nonprofits & Activism,Gadgets & Games,0
Nonprofits & Activism,Howto & Style,11
Nonprofits & Activism,Music,47
Nonprofits & Activism,News & Politics,302
Nonprofits & Activism,People & Blogs,106
Nonprofits & Activism,Pets & Animals,2
Nonprofits & Activism,Sports,5
Nonprofits & Activism,Travel & Events,33
Nonprofits & Activism,Nonprofits & Activism,425
Nonprofits & Activism,Science & Technology,12
Nonprofits & Activism,Education,44
Science & Technology,Autos & Vehicles,93
Science & Technology,Comedy,85
Science & Technology,Entertainment,535
Science & Technology,Film & Animation,122
Science & Technology,Gadgets & Games,0
Science & Technology,Howto & Style,222
Science & Technology,Music,69
Science & Technology,News & Politics,129
Science & Technology,People & Blogs,161
Science & Technology,Pets & Animals,4
Science & Technology,Sports,86
Science & Technology,Travel & Events,73
Science & Technology,Nonprofits & Activism,9
Science & Technology,Science & Technology,1985
Science & Technology,Education,87
Education,Autos & Vehicles,63
Education,Comedy,197
Education,Entertainment,747
Education,Film & Animation,319
Education,Gadgets & Games,0
Education,Howto & Style,206
Education,Music,209
Education,News & Politics,302
Education,People & Blogs,410
Education,Pets & Animals,33
Education,Sports,124
Education,Travel & Events,150
Education,Nonprofits & Activism,41
Education,Science & Technology,124
Education,Education,2000
